vid,japanese,reading,meaning,type,category,subcategory,level
f087,浅草,あさくさ,Asakusa,proper_noun,friend,町,20
f088,新宿,しんじゅく,Shinjuku,proper_noun,friend,町,20
f089,秋葉原,あきはばら,Akihabara,proper_noun,friend,町,20
f090,渋谷,しぶや,Shibuya,proper_noun,friend,町,20
f091,銀座,ぎんざ,Ginza,proper_noun,friend,町,20
f092,鎌倉,かまくら,Kamakura,proper_noun,friend,町,20
f093,横浜,よこはま,Yokohama,proper_noun,friend,町,20
f094,羽田,はねだ,Haneda,proper_noun,friend,町,20
f095,北海道,ほっかいどう,Hokkaido,proper_noun,friend,町,20
f096,札幌,さっぽろ,Sapporo,proper_noun,friend,町,20
f097,仙台,せんだい,Sendai,proper_noun,friend,町,20
f098,日光,にっこう,Nikko,proper_noun,friend,町,20
f099,富士山,ふじさん,Mount Fuji,proper_noun,friend,町,20
f100,金沢,かなざわ,Kanazawa,proper_noun,friend,町,20
f101,名古屋,なごや,Nagoya,proper_noun,friend,町,20
f102,京都,きょうと,Kyoto,proper_noun,friend,町,20
f103,奈良,なら,Nara,proper_noun,friend,町,20
f104,大阪,おおさか,Osaka,proper_noun,friend,町,20
f105,神戸,こうべ,Kobe,proper_noun,friend,町,20
f106,広島,ひろしま,Hiroshima,proper_noun,friend,町,20
f107,福岡,ふくおか,Fukuoka,proper_noun,friend,町,20
f108,長崎,ながさき,Nagasaki,proper_noun,friend,町,20
f109,沖縄,おきなわ,Okinawa,proper_noun,friend,町,20
m001,朝,あさ,morning,noun,todays_meal,"あさ,よる",21
m002,昼,ひる,noon; daytime,noun,todays_meal,"あさ,よる",21
m003,夜,よる,night; evening,noun,todays_meal,"あさ,よる",21
m004,毎朝,まいあさ,every morning,noun,todays_meal,"あさ,よる",21
m005,毎晩,まいばん,every night,noun,todays_meal,"あさ,よる",21
m006,今朝,けさ,this morning,noun,todays_meal,"あさ,よる",21
m007,今晩,こんばん,tonight; this evening,noun,todays_meal,"あさ,よる",21
m008,起きる,おきる,to get up; to wake up,verb,todays_meal,"あさ,よる",21
m009,寝る,ねる,to sleep; to go to bed,verb,todays_meal,"あさ,よる",21
m010,見る,みる,to see; to watch,verb,todays_meal,"あさ,よる",21
m011,ニュース,にゅーす,news,noun,todays_meal,"あさ,よる",21
m012,ラジオ,らじお,radio,noun,todays_meal,"あさ,よる",21
m013,テレビ,てれび,television; TV,noun,todays_meal,"あさ,よる",21
m014,早い,はやい,early; fast,adjective,todays_meal,"あさ,よる",21
m015,遅い,おそい,late; slow,adjective,todays_meal,"あさ,よる",21
m016,鏡,かがみ,mirror,noun,todays_meal,"あさ,よる",21
m017,顔,かお,face,noun,todays_meal,"あさ,よる",21
m018,洗う,あらう,to wash,verb,todays_meal,"あさ,よる",21
m019,お風呂,おふろ,bath; bathtub,noun,todays_meal,"あさ,よる",21
m020,入る,はいる,to enter; to take a bath; to go in,verb,todays_meal,"あさ,よる",21
m021,シャワー,しゃわー,shower,noun,todays_meal,"あさ,よる",21
m022,浴びる,あびる,to take; to shower; to bathe,verb,todays_meal,"あさ,よる",21
m023,歯,は,tooth; teeth,noun,todays_meal,"あさ,よる",21
m024,磨く,みがく,to brush; to polish,verb,todays_meal,"あさ,よる",21
m025,食べる,たべる,to eat,verb,todays_meal,"たべる,のむ",22
m026,飲む,のむ,to drink,verb,todays_meal,"たべる,のむ",22
m027,食べ物,たべもの,food,noun,todays_meal,"たべる,のむ",22
m028,朝ご飯,あさごはん,breakfast,noun,todays_meal,"たべる,のむ",22
m029,昼ご飯,ひるごはん,lunch,noun,todays_meal,"たべる,のむ",22
m030,晩ご飯,ばんごはん,dinner,noun,todays_meal,"たべる,のむ",22
m031,たくさん,たくさん,many; much; a lot,adverb,todays_meal,"たべる,のむ",22
m032,スーパー,すーぱー,supermarket,noun,todays_meal,"たべる,のむ",22
m033,肉,にく,meat,noun,todays_meal,"たべる,のむ",22
m034,牛肉,ぎゅうにく,beef,noun,todays_meal,"たべる,のむ",22
m035,豚肉,ぶたにく,pork,noun,todays_meal,"たべる,のむ",22
m036,鶏肉,とりにく,chicken; chicken meat,noun,todays_meal,"たべる,のむ",22
m037,魚,さかな,fish,noun,todays_meal,"たべる,のむ",22
m038,卵,たまご,egg,noun,todays_meal,"たべる,のむ",22
m039,野菜,やさい,vegetables,noun,todays_meal,"たべる,のむ",22
m040,果物,くだもの,fruit,noun,todays_meal,"たべる,のむ",22
m041,りんご,りんご,apple,noun,todays_meal,"たべる,のむ",22
m042,レモン,れもん,lemon,noun,todays_meal,"たべる,のむ",22
m043,みかん,みかん,mandarin orange,noun,todays_meal,"たべる,のむ",22
m044,パン,ぱん,bread,noun,todays_meal,"たべる,のむ",22
m045,お菓子,おかし,sweets; snacks,noun,todays_meal,"たべる,のむ",22
m046,チョコレート,ちょこれーと,chocolate,noun,todays_meal,"たべる,のむ",22
m047,飲み物,のみもの,drink; beverage,noun,todays_meal,"たべる,のむ",22
m048,水,みず,water,noun,todays_meal,"たべる,のむ",22
m049,お湯,おゆ,hot water,noun,todays_meal,"たべる,のむ",22
m050,冷たい,つめたい,cold; chilled,adjective,todays_meal,"たべる,のむ",22
m051,～がいい,～がいい,[something] is preferable; I would like [something],expression,todays_meal,"たべる,のむ",22
m052,入れる,いれる,to put in; to add; to make (tea/coffee),verb,todays_meal,"たべる,のむ",22
m053,ミルク,みるく,milk,noun,todays_meal,"たべる,のむ",22
m054,自動販売機,じどうはんばいき,vending machine,noun,todays_meal,"たべる,のむ",22
m055,牛乳,ぎゅうにゅう,milk,noun,todays_meal,"たべる,のむ",22
m056,ジュース,じゅーす,juice,noun,todays_meal,"たべる,のむ",22
m057,コーヒー,こーひー,coffee,noun,todays_meal,"たべる,のむ",22
m058,紅茶,こうちゃ,black tea,noun,todays_meal,"たべる,のむ",22
m059,お茶,おちゃ,tea,noun,todays_meal,"たべる,のむ",22
m060,お酒,おさけ,alcohol; alcoholic drink,noun,todays_meal,"たべる,のむ",22
m061,ビール,びーる,beer,noun,todays_meal,"たべる,のむ",22
m062,ワイン,わいん,wine,noun,todays_meal,"たべる,のむ",22
m063,カップ,かっぷ,cup,noun,todays_meal,"たべる,のむ",22
m064,コップ,こっぷ,glass; cup,noun,todays_meal,"たべる,のむ",22
m065,料理,りょうり,cooking; cuisine; dish,noun,todays_meal,りょうり,23
m066,ご飯,ごはん,meal; cooked rice,noun,todays_meal,りょうり,23
m067,サンドイッチ,さんどいっち,sandwich,noun,todays_meal,りょうり,23
m068,おにぎり,おにぎり,rice ball,noun,todays_meal,りょうり,23
m069,お弁当,おべんとう,bento; packed lunch,noun,todays_meal,りょうり,23
m070,ラーメン,らーめん,ramen,noun,todays_meal,りょうり,23
m071,パスタ,ぱすた,pasta,noun,todays_meal,りょうり,23
m072,うどん,うどん,udon,noun,todays_meal,りょうり,23
m073,そば,そば,soba; buckwheat noodles,noun,todays_meal,りょうり,23
m074,天ぷら,てんぷら,tempura,noun,todays_meal,りょうり,23
m075,すき焼き,すきやき,sukiyaki,noun,todays_meal,りょうり,23
m076,刺身,さしみ,sashimi,noun,todays_meal,りょうり,23
m077,カレーライス,かれーらいす,curry rice,noun,todays_meal,りょうり,23
m078,牛丼,ぎゅうどん,beef bowl,noun,todays_meal,りょうり,23
m079,お寿司,おすし,sushi,noun,todays_meal,りょうり,23
m080,ケーキ,けーき,cake,noun,todays_meal,りょうり,23
m081,アイスクリーム,あいすくりーむ,ice cream,noun,todays_meal,りょうり,23
m082,取る,とる,to take; to pick up,verb,todays_meal,りょうり,23
m083,砂糖,さとう,sugar,noun,todays_meal,りょうり,23
m084,塩,しお,salt,noun,todays_meal,りょうり,23
m085,醤油,しょうゆ,soy sauce,noun,todays_meal,りょうり,23
m086,レストラン,れすとらん,restaurant,noun,todays_meal,レストラン,24
m087,何,なに,what,pronoun,todays_meal,レストラン,24
m088,なんか,なんか,something like; things like; somehow,expression,todays_meal,レストラン,24
m089,食事する,しょくじする,to have a meal; to eat,verb,todays_meal,レストラン,24
m090,有名な,ゆうめいな,famous,adjective,todays_meal,レストラン,24
m091,食堂,しょくどう,cafeteria; dining hall,noun,todays_meal,レストラン,24
m092,定食,ていしょく,set meal,noun,todays_meal,レストラン,24
m093,喫茶店,きっさてん,coffee shop; traditional cafe,noun,todays_meal,レストラン,24
m094,～で,～で,at; in; by; with,particle,todays_meal,レストラン,24
m095,箸,はし,chopsticks,noun,todays_meal,レストラン,24
m096,スプーン,すぷーん,spoon,noun,todays_meal,レストラン,24
m097,フォーク,ふぉーく,fork,noun,todays_meal,レストラン,24
m098,ナイフ,ないふ,knife,noun,todays_meal,レストラン,24
m099,皿,さら,plate; dish,noun,todays_meal,レストラン,24
m100,茶碗,ちゃわん,rice bowl; tea bowl,noun,todays_meal,レストラン,24
m101,いらっしゃいませ,いらっしゃいませ,welcome; welcome to our shop,expression,todays_meal,レストラン,24
m102,ご注文は,ごちゅうもんは,what would you like to order?,expression,todays_meal,レストラン,24
m103,これでお願いします,これでおねがいします,this one please; I'll have this,expression,todays_meal,レストラン,24
m104,ほかに,ほかに,anything else; in addition,expression,todays_meal,レストラン,24
m105,別々に,べつべつに,separately,adverb,todays_meal,レストラン,24
m106,どうですか,どうですか,how is it?; how about it?,expression,todays_meal,どうですか,25
m107,どう,どう,how; in what way,adverb,todays_meal,どうですか,25
m108,甘い,あまい,sweet,adjective,todays_meal,どうですか,25
m109,辛い,からい,spicy; hot,adjective,todays_meal,どうですか,25
m110,おいしい,おいしい,delicious,adjective,todays_meal,どうですか,25
m111,全部,ぜんぶ,all; everything,noun,todays_meal,どうですか,25
m112,自分で,じぶんで,by oneself; on one's own,expression,todays_meal,どうですか,25
m113,お腹が空く,おなかがすく,to get hungry,expression,todays_meal,どうですか,25
m114,喉が渇く,のどがかわく,to get thirsty,expression,todays_meal,どうですか,25
m115,いっぱい,いっぱい,full; plenty; one cup/glass,noun,todays_meal,どうですか,25
m116,いかがですか,いかがですか,how about it?; would you like it?,expression,todays_meal,どうですか,25
m117,もう一杯,もういっぱい,one more cup/glass,noun,todays_meal,どうですか,25
m118,結構です,けっこうです,no thank you; that's enough; fine,expression,todays_meal,どうですか,25
m119,乾杯,かんぱい,cheers; toast,noun,todays_meal,どうですか,25
m120,いただきます,いただきます,said before eating; thank you for the meal,expression,todays_meal,どうですか,25
m121,ごちそうさまでした,ごちそうさまでした,said after eating; thank you for the meal,expression,todays_meal,どうですか,25
h001,趣味,しゅみ,hobby,noun,hobby,しゅみ,26
h002,日,ひ,day,noun,hobby,しゅみ,26
h003,楽しい,たのしい,fun; enjoyable,adjective,hobby,しゅみ,26
h004,好きな,すきな,liked; favorite,adjective,hobby,しゅみ,26
h005,嫌いな,きらいな,disliked; disliked,adjective,hobby,しゅみ,26
h006,あまり,あまり,not very; not much,adverb,hobby,しゅみ,26
h007,どちら,どちら,which; which one; which of two,pronoun,hobby,しゅみ,26
h008,どちらも,どちらも,both; both of them,pronoun,hobby,しゅみ,26
h009,どっち,どっち,which; which one; which way,pronoun,hobby,しゅみ,26
h010,上手な,じょうずな,good at; skillful,adjective,hobby,しゅみ,26
h011,下手な,へたな,poor at; unskilled,adjective,hobby,しゅみ,26
h012,まだまだです,まだまだです,I'm still not very good; I have a long way to go,expression,hobby,しゅみ,26
h013,習う,ならう,to learn; to take lessons,verb,hobby,しゅみ,26
h014,生け花,いけばな,flower arranging,noun,hobby,しゅみ,26
h015,茶道,さどう,tea ceremony,noun,hobby,しゅみ,26
h016,簡単な,かんたんな,easy; simple,adjective,hobby,しゅみ,26
h017,優しい,やさしい,easy; kind; gentle,adjective,hobby,しゅみ,26
h018,難しい,むずかしい,difficult; hard,adjective,hobby,しゅみ,26
h019,写真,しゃしん,photograph; photo,noun,hobby,しゅみ,26
h020,撮る,とる,to take (a photo); to photograph,verb,hobby,しゅみ,26
h021,カメラ,かめら,camera,noun,hobby,しゅみ,26
h022,絵,え,picture; drawing; painting,noun,hobby,しゅみ,26
h023,描く,かく,to draw; to paint,verb,hobby,しゅみ,26
h024,美術館,びじゅつかん,art museum,noun,hobby,しゅみ,26
h025,音楽,おんがく,music,noun,hobby,おんがく,27
h026,カラオケ,からおけ,karaoke,noun,hobby,おんがく,27
h027,一緒に,いっしょに,together,adverb,hobby,おんがく,27
h028,みんなで,みんなで,together with everyone; all together,expression,hobby,おんがく,27
h029,歌,うた,song,noun,hobby,おんがく,27
h030,歌う,うたう,to sing,verb,hobby,おんがく,27
h031,コンサート,こんさーと,concert,noun,hobby,おんがく,27
h032,クラシック,くらしっく,classical music,noun,hobby,おんがく,27
h033,ジャズ,じゃず,jazz,noun,hobby,おんがく,27
h034,ポップス,ぽっぷす,pop music,noun,hobby,おんがく,27
h035,ロック,ろっく,rock music,noun,hobby,おんがく,27
h036,ピアノ,ぴあの,piano,noun,hobby,おんがく,27
h037,ギター,ぎたー,guitar,noun,hobby,おんがく,27
h038,弾く,ひく,to play (an instrument),verb,hobby,おんがく,27
h039,映画,えいが,movie; film,noun,hobby,おんがく,27
h040,映画館,えいがかん,movie theater; cinema,noun,hobby,おんがく,27
h041,始まる,はじまる,to begin; to start,verb,hobby,おんがく,27
h042,終わる,おわる,to end; to finish,verb,hobby,おんがく,27
h043,漫画,まんが,manga; comic,noun,hobby,おんがく,27
h044,アニメ,あにめ,anime; animation,noun,hobby,おんがく,27
h045,ゲーム,げーむ,game; video game,noun,hobby,おんがく,27
h046,ソフト,そふと,software; game software,noun,hobby,おんがく,27
h047,面白い,おもしろい,interesting; amusing; funny,adjective,hobby,おんがく,27
h048,スポーツ,すぽーつ,sports,noun,hobby,スポーツ,28
h049,ジョギング,じょぎんぐ,jogging,noun,hobby,スポーツ,28
h050,スキー,すきー,skiing,noun,hobby,スポーツ,28
h051,ダンス,だんす,dance; dancing,noun,hobby,スポーツ,28
h052,泳ぐ,およぐ,to swim,verb,hobby,スポーツ,28
h053,海,うみ,sea; ocean,noun,hobby,スポーツ,28
h054,プール,ぷーる,swimming pool,noun,hobby,スポーツ,28
h055,川,かわ,river,noun,hobby,スポーツ,28
h056,釣り,つり,fishing,noun,hobby,スポーツ,28
h057,登る,のぼる,to climb,verb,hobby,スポーツ,28
h058,山,やま,mountain,noun,hobby,スポーツ,28
h059,試合,しあい,match; game; competition,noun,hobby,スポーツ,28
h060,勝つ,かつ,to win,verb,hobby,スポーツ,28
h061,負ける,まける,to lose,verb,hobby,スポーツ,28
h062,さあ…,さあ…,well…; now then…; let's see,expression,hobby,スポーツ,28
h063,強い,つよい,strong; good at,noun,hobby,スポーツ,28
h064,弱い,よわい,weak; poor at,adjective,hobby,スポーツ,28
h065,サッカー,さっかー,soccer; football,noun,hobby,スポーツ,28
h066,野球,やきゅう,baseball,noun,hobby,スポーツ,28
h067,相撲,すもう,sumo wrestling,noun,hobby,スポーツ,28
h068,柔道,じゅうどう,judo,noun,hobby,スポーツ,28
h069,テニス,てにす,tennis,noun,hobby,スポーツ,28
h070,ゴルフ,ごるふ,golf,noun,hobby,スポーツ,28
h071,天気,てんき,weather,noun,hobby,てんき,29
h072,いい,いい,good; nice,adjective,hobby,てんき,29
h073,悪い,わるい,bad,adjective,hobby,てんき,29
h074,いいお天気ですね,いいおてんきですね,it's nice weather; what nice weather,expression,hobby,てんき,29
h075,雨,あめ,rain,noun,hobby,てんき,29
h076,雪,ゆき,snow,noun,hobby,てんき,29
h077,降る,ふる,to fall (rain; snow),verb,hobby,てんき,29
h078,暑い,あつい,hot (weather),adjective,hobby,てんき,29
h079,涼しい,すずしい,cool; refreshing,adjective,hobby,てんき,29
h080,寒い,さむい,cold (weather),adjective,hobby,てんき,29
h081,暖かい,あたたかい,warm,adjective,hobby,てんき,29
h082,多い,おおい,many; much,adjective,hobby,てんき,29
h083,少ない,すくない,few; little,adjective,hobby,てんき,29
h084,思う,おもう,to think; to feel,verb,hobby,てんき,29
h085,たぶん,たぶん,probably; perhaps,adverb,hobby,てんき,29
h086,きっと,きっと,surely; certainly; probably,adverb,hobby,てんき,29
h087,傘,かさ,umbrella,noun,hobby,てんき,29
h088,持って来る,もってくる,to bring,verb,hobby,てんき,29
h089,持って行く,もっていく,to take; to bring along,verb,hobby,てんき,29
h090,番組,ばんぐみ,program; TV program,noun,hobby,てんき,29
h091,季節,きせつ,season,noun,hobby,きせつ,30
h092,いつ,いつ,when,pronoun,hobby,きせつ,30
h093,去年,きょねん,last year,noun,hobby,きせつ,30
h094,今年,ことし,this year,noun,hobby,きせつ,30
h095,来年,らいねん,next year,noun,hobby,きせつ,30
h096,一番,いちばん,number one; most; best,adverb,hobby,きせつ,30
h097,なる,なる,to become; to get,verb,hobby,きせつ,30
h098,春,はる,spring,noun,hobby,きせつ,30
h099,夏,なつ,summer,noun,hobby,きせつ,30
h100,秋,あき,autumn; fall,noun,hobby,きせつ,30
h101,冬,ふゆ,winter,noun,hobby,きせつ,30
h102,花,はな,flower,noun,hobby,きせつ,30
h103,月,つき,moon; month,noun,hobby,きせつ,30
h104,お花見,おはなみ,cherry blossom viewing,noun,hobby,きせつ,30
h105,桜,さくら,cherry blossom,noun,hobby,きせつ,30
h106,花火,はなび,fireworks,noun,hobby,きせつ,30
h107,紅葉,もみじ,maple leaves; autumn foliage,noun,hobby,きせつ,30
h108,初めて,はじめて,for the first time,adverb,hobby,きせつ,30
h109,一度,いちど,once; one time,counter,hobby,きせつ,30
h110,何回も,なんかいも,many times; repeatedly,adverb,hobby,きせつ,30
h111,一度も,いちども,not even once,adverb,hobby,きせつ,30
h112,公園,こうえん,park,noun,hobby,きせつ,30
h113,散歩する,さんぽする,to take a walk; to stroll,verb,hobby,きせつ,30
h114,とても,とても,very,adverb,hobby,きせつ,30
h115,本当に,ほんとうに,really; truly,adverb,hobby,きせつ,30
h116,ぜひ,ぜひ,by all means; definitely,adverb,hobby,きせつ,30
h117,もちろん,もちろん,of course,noun,hobby,きせつ,30
s001,買い物する,かいものする,to shop; to go shopping,verb,shopping,買い物,31
s002,～をください,～をください,please give me [something],expression,shopping,買い物,31
s003,～と,～と,and; with; [quotation particle],particle,shopping,買い物,31
s004,～や,～や,[things] such as; and,particle,shopping,買い物,31
s005,～など,～など,etc.; and so on,particle,shopping,買い物,31
s006,いくら,いくら,how much,pronoun,shopping,買い物,31
s007,円,えん,yen,noun,shopping,買い物,31
s008,高い,たかい,expensive; high,adjective,shopping,買い物,31
s009,安い,やすい,cheap; inexpensive,adjective,shopping,買い物,31
s010,百,ひゃく,hundred,counter,shopping,買い物,31
s011,千,せん,thousand,counter,shopping,買い物,31
s012,万,まん,ten thousand,counter,shopping,買い物,31
s013,億,おく,hundred million,counter,shopping,買い物,31
s014,一円,いちえん,one yen,counter,shopping,買い物,31
s015,十円,じゅうえん,ten yen,counter,shopping,買い物,31
s016,百円,ひゃくえん,one hundred yen,counter,shopping,買い物,31
s017,千円,せんえん,one thousand yen,counter,shopping,買い物,31
s018,一万円,いちまんえん,ten thousand yen,counter,shopping,買い物,31
s019,一億円,いちおくえん,one hundred million yen,counter,shopping,買い物,31
s020,ちょっと,ちょっと,a little; a bit,adverb,shopping,買い物,31
s021,では,では,well then; then; if so,expression,shopping,買い物,31
s022,じゃ,じゃ,well then; then,expression,shopping,買い物,31
s023,お金,おかね,money,noun,shopping,買い物,31
s024,払う,はらう,to pay,verb,shopping,買い物,31
s025,お釣り,おつり,change,noun,shopping,買い物,31
s026,細かいお金,こまかいおかね,small change; coins,noun,shopping,買い物,31
s027,足りる,たりる,to be enough; to suffice,verb,shopping,買い物,31
s028,生活,せいかつ,daily life; living,noun,shopping,買い物,31
s029,物価,ぶっか,prices; cost of living,noun,shopping,買い物,31
s030,いくつ,いくつ,how many; how old,pronoun,shopping,買い物,31
s031,全部で,ぜんぶで,in total,adverb,shopping,買い物,31
s032,～つ,～つ,[general counter] things/items,counter,shopping,買い物,31
s033,一つ,ひとつ,one thing; one item,counter,shopping,買い物,31
s034,二つ,ふたつ,two things; two items,counter,shopping,買い物,31
s035,三つ,みっつ,three things; three items,counter,shopping,買い物,31
s036,四つ,よっつ,four things; four items,counter,shopping,買い物,31
s037,五つ,いつつ,five things; five items,counter,shopping,買い物,31
s038,六つ,むっつ,six things; six items,counter,shopping,買い物,31
s039,七つ,ななつ,seven things; seven items,counter,shopping,買い物,31
s040,八つ,やっつ,eight things; eight items,counter,shopping,買い物,31
s041,九つ,ここのつ,nine things; nine items,counter,shopping,買い物,31
s042,十,とお,ten things; ten items,counter,shopping,買い物,31
s043,店,みせ,shop; store,noun,shopping,みせ,32
s044,～屋,～や,shop specializing in [something]; shopkeeper suffix,suffix,shopping,みせ,32
s045,デパート,でぱーと,department store,noun,shopping,みせ,32
s046,コンビニ,こんびに,convenience store,noun,shopping,みせ,32
s047,売る,うる,to sell,verb,shopping,みせ,32
s048,売り場,うりば,sales floor; department; section,noun,shopping,みせ,32
s049,コーナー,こーなー,section; corner,noun,shopping,みせ,32
s050,棚,たな,shelf,noun,shopping,みせ,32
s051,コピーする,こぴーする,to copy; to photocopy,verb,shopping,みせ,32
s052,チケット,ちけっと,ticket,noun,shopping,みせ,32
s053,カタログ,かたろぐ,catalog,noun,shopping,みせ,32
s054,雑誌,ざっし,magazine,noun,shopping,みせ,32
s055,新聞,しんぶん,newspaper,noun,shopping,みせ,32
s056,欲しい,ほしい,to want; desired,adjective,shopping,みせ,32
s057,できる,できる,can; be able to; be made,verb,shopping,みせ,32
s058,～でございます,～でございます,is; am; are (very polite),expression,shopping,みせ,32
s059,お探しですか,おさがしですか,are you looking for [something]?,expression,shopping,みせ,32
s060,見せる,みせる,to show,verb,shopping,みせ,32
s061,かしこまりました,cashikomarimashita,I understand; certainly; understood,expression,shopping,みせ,32
s062,少々お待ちください,しょうしょうおまちください,please wait a moment,expression,shopping,みせ,32
s063,ATM,えーてぃーえむ,ATM,noun,shopping,ATM,33
s064,～方,～かた,way of doing; how to [do something],suffix,shopping,ATM,33
s065,お引き出しですか,おひきだしですか,would you like to make a withdrawal?,expression,shopping,ATM,33
s066,現金,げんきん,cash,noun,shopping,ATM,33
s067,下ろす,おろす,to withdraw; to take out,verb,shopping,ATM,33
s068,まず,まず,first; to begin with,adverb,shopping,ATM,33
s069,キャッシュカード,きゃっしゅかーど,cash card; ATM card,noun,shopping,ATM,33
s070,次に,つぎに,next; secondly,adverb,shopping,ATM,33
s071,暗証番号,あんしょうばんごう,PIN; personal identification number,noun,shopping,ATM,33
s072,押す,おす,to press; to push,verb,shopping,ATM,33
s073,それから,それから,and then; after that,conjunction,shopping,ATM,33
s074,金額,きんがく,amount of money,noun,shopping,ATM,33
s075,確認する,かくにんする,to confirm; to check,verb,shopping,ATM,33
s076,ボタン,ぼたん,button,noun,shopping,ATM,33
s077,出る,でる,to come out; to leave; to appear,verb,shopping,ATM,33
s078,変える,かえる,to change,verb,shopping,ATM,33
s079,郵便局,ゆうびんきょく,post office,noun,shopping,ATM,33
s080,ポスト,ぽすと,postbox; mailbox,noun,shopping,おくる,34
s081,手紙,てがみ,letter,noun,shopping,おくる,34
s082,葉書,はがき,postcard,noun,shopping,おくる,34
s083,年賀状,ねんがじょう,New Year's card,noun,shopping,おくる,34
s084,出す,だす,to send; to put out; to submit,verb,shopping,おくる,34
s085,メール,めーる,email; mail,noun,shopping,おくる,34
s086,送る,おくる,to send,verb,shopping,おくる,34
s087,切手,きって,postage stamp,noun,shopping,おくる,34
s088,包む,つつむ,to wrap; to package,verb,shopping,おくる,34
s089,封筒,ふうとう,envelope,noun,shopping,おくる,34
s090,外国,がいこく,foreign country,noun,shopping,おくる,34
s091,メール,めーる,email; mail,noun,shopping,おくる,34
s092,航空便,こうくうびん,airmail,noun,shopping,おくる,34
s093,船便,ふなびん,sea mail; surface mail,noun,shopping,おくる,34
s094,荷物,にもつ,luggage; package; parcel,noun,shopping,おくる,34
s095,重い,おもい,heavy,adjective,shopping,おくる,34
s096,軽い,かるい,light (in weight),adjective,shopping,おくる,34
s097,プレゼント,ぷれぜんと,present; gift,noun,shopping,プレゼント,35
s098,あげる,あげる,to give,verb,shopping,プレゼント,35
s099,もらう,もらう,to receive; to get,verb,shopping,プレゼント,35
s100,くれる,くれる,to give (to me/us),verb,shopping,プレゼント,35
s101,物,もの,thing; object,noun,shopping,プレゼント,35
s102,パーティー,ぱーてぃー,party,noun,shopping,プレゼント,35
s103,始める,はじめる,to begin; to start,verb,shopping,プレゼント,35
s104,誰,だれ,who,pronoun,shopping,プレゼント,35
s105,どなた,どなた,who (polite),pronoun,shopping,プレゼント,35
s106,あの方,あのかた,that person (polite),pronoun,shopping,プレゼント,35
s107,クリスマス,くりすます,Christmas,noun,shopping,プレゼント,35
s108,お誕生日,おたんじょうび,birthday,noun,shopping,プレゼント,35
s109,生まれる,うまれる,to be born,verb,shopping,プレゼント,35
s110,おめでとうございます,おめでとうございます,congratulations; happy [birthday/etc.],expression,shopping,プレゼント,35
s111,わあ,わあ,wow; oh!,expression,shopping,プレゼント,35
s112,何歳,なんさい,how old,expression,shopping,プレゼント,35
s113,おいくつ,おいくつ,how old (polite),expression,shopping,プレゼント,35
s114,～歳,～さい,[number] years old,counter,shopping,プレゼント,35
s115,一歳,いっさい,one year old,counter,shopping,プレゼント,35
s116,二歳,にさい,two years old,counter,shopping,プレゼント,35
s117,三歳,さんさい,three years old,counter,shopping,プレゼント,35
s118,四歳,よんさい,four years old,counter,shopping,プレゼント,35
s119,五歳,ごさい,five years old,counter,shopping,プレゼント,35
s120,六歳,ろくさい,six years old,counter,shopping,プレゼント,35
s121,七歳,ななさい,seven years old,counter,shopping,プレゼント,35
s122,八歳,はっさい,eight years old,counter,shopping,プレゼント,35
s123,九歳,きゅうさい,nine years old,counter,shopping,プレゼント,35
s124,十歳,じゅっさい,ten years old,counter,shopping,プレゼント,35
s125,二十歳,はたち,twenty years old,counter,shopping,プレゼント,35
s126,何日,なんにち,what day of the month; how many days,counter,shopping,プレゼント,35
s127,～日,～にち,[number]th day; [number] days,counter,shopping,プレゼント,35
s128,一日,ついたち,the first day of the month,counter,shopping,プレゼント,35
s129,二日,ふつか,the second day; two days,counter,shopping,プレゼント,35
s130,三日,みっか,the third day; three days,counter,shopping,プレゼント,35
s131,四日,よっか,the fourth day; four days,counter,shopping,プレゼント,35
s132,五日,いつか,the fifth day; five days,counter,shopping,プレゼント,35
s133,六日,むいか,the sixth day; six days,counter,shopping,プレゼント,35
s134,七日,なのか,the seventh day; seven days,counter,shopping,プレゼント,35
s135,八日,ようか,the eighth day; eight days,counter,shopping,プレゼント,35
s136,九日,ここのか,the ninth day; nine days,counter,shopping,プレゼント,35
s137,十日,とおか,the tenth day; ten days,counter,shopping,プレゼント,35
s138,十一日,じゅういちにち,the eleventh day; eleven days,counter,shopping,プレゼント,35
s139,十二日,じゅうににち,the twelfth day; twelve days,counter,shopping,プレゼント,35
s140,十三日,じゅうさんにち,the thirteenth day; thirteen days,counter,shopping,プレゼント,35
s141,十四日,じゅうよっか,the fourteenth day; fourteen days,counter,shopping,プレゼント,35
s142,十五日,じゅうごにち,the fifteenth day; fifteen days,counter,shopping,プレゼント,35
s143,十六日,じゅうろくにち,the sixteenth day; sixteen days,counter,shopping,プレゼント,35
s144,十七日,じゅうしちにち,the seventeenth day; seventeen days,counter,shopping,プレゼント,35
s145,十八日,じゅうはちにち,the eighteenth day; eighteen days,counter,shopping,プレゼント,35
s146,十九日,じゅうくにち,the nineteenth day; nineteen days,counter,shopping,プレゼント,35
s147,二十日,はつか,the twentieth day; twenty days,counter,shopping,プレゼント,35
s148,二十一日,にじゅういちにち,the twenty-first day; twenty-one days,counter,shopping,プレゼント,35
s149,二十二日,にじゅうににち,the twenty-second day; twenty-two days,counter,shopping,プレゼント,35
